code,Species,Type,Qin,full_rcp26,full_rcp45,full_rcp85,buffer_rcp26,buffer_rcp45,buffer_rcp85,stable_rcp26,stable_rcp45,stable_rcp85
sp506,Amelanchier sinica,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,EN
sp508,Amentotaxus formosana,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp513,Ampelocalamus actinotrichus,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp514,Ampelocalamus calcareus,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp518,Ampelocalamus mianningensis,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,EX,EX,EX
sp521,Ampelocalamus saxatilis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp522,Ampelocalamus scandens,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,EN
sp523,Ampelocalamus yongshanensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,VU
sp526,Ampelopsis acerifolia,narrow-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp528,Ampelopsis acutidentata,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,EN,CR
sp529,Ampelopsis bodinieri,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp532,Ampelopsis chaffanjonii,wide-ranged,LC,LC,NT,NT,NT,NT,VU,NT,NT,VU
sp533,Ampelopsis delavayana,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,VU,EN
sp539,Ampelopsis humulifolia,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp541,Ampelopsis megalophylla,wide-ranged,LC,LC,NT,VU,LC,NT,VU,NT,NT,EN
sp545,Amygdalus davidiana,wide-ranged,VU,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp547,Amygdalus kansuensis,wide-ranged,LC,LC,LC,LC,LC,LC,NT,NT,VU,EN
sp556,Ancylostemon rhombifolius,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp557,Ancylostemon ronganensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp578,Antirhea chinensis,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,VU
sp588,Apterosperma oblata,wide-ranged,VU,EN,EN,VU,EN,EN,VU,CR,CR,VU
sp589,Aquilaria sinensis,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp590,Aquilaria yunnanensis,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp593,Aralia chinensis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,NT,VU
sp596,Aralia debilis,wide-ranged,NT,EN,EN,VU,EN,EN,VU,EN,EN,EN
sp597,Aralia decaisneana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp598,Aralia echinocaulis,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp602,Aralia scaberula,narrow-ranged,NT,CR,CR,CR,CR,CR,CR,EX,CR,EX
sp604,Aralia spinifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp605,Aralia stipulata,narrow-ranged,DD,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp609,Arcangelisia gusanlung,wide-ranged,NT,VU,NT,NT,VU,NT,NT,VU,NT,VU
sp615,Archakebia apetala,wide-ranged,LC,LC,LC,VU,LC,LC,VU,NT,VU,EN
sp634,Ardisia alyxiifolia,wide-ranged,LC,NT,NT,EN,NT,NT,EN,NT,VU,EN
sp640,Ardisia caudata,wide-ranged,LC,EN,EN,VU,EN,EN,VU,EN,CR,EN
sp643,Ardisia cornudentata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp648,Ardisia densilepidotula,wide-ranged,LC,NT,LC,LC,NT,NT,LC,NT,NT,NT
sp651,Ardisia filiformis,wide-ranged,DD,NT,LC,LC,NT,LC,LC,VU,VU,NT
sp662,Ardisia olivacea,wide-ranged,LC,NT,LC,LC,NT,LC,LC,VU,NT,NT
sp663,Ardisia omissa,wide-ranged,LC,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp667,Ardisia purpureovillosa,wide-ranged,LC,EX,EX,LC,EX,EX,LC,EX,EX,NT
sp672,Ardisia retroflexa,narrow-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp690,Argyreia cheliensis,narrow-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp691,Argyreia eriocephala,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp693,Argyreia fulvocymosa,wide-ranged,VU,VU,VU,VU,VU,EN,VU,EN,EN,VU
sp696,Argyreia lineariloba,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,EN
sp697,Argyreia marlipoensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp701,Argyreia monosperma,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp706,Argyreia strigillosa,narrow-ranged,DD,LC,LC,EN,LC,LC,CR,VU,CR,VU
sp707,Argyreia velutina,wide-ranged,LC,CR,CR,LC,CR,CR,NT,CR,CR,VU
sp709,Aristolochia championii,wide-ranged,NT,NT,VU,VU,NT,VU,VU,VU,VU,EN
sp710,Aristolochia fangchi,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,NT
sp711,Aristolochia fulvicoma,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp713,Aristolochia hainanensis,wide-ranged,VU,CR,CR,VU,CR,CR,VU,CR,CR,EN
sp714,Aristolochia howii,narrow-ranged,VU,EN,CR,CR,EN,CR,CR,CR,CR,EN
sp715,Aristolochia kunmingensis,wide-ranged,VU,EN,EN,EN,EN,EN,EN,EN,EN,CR
sp716,Aristolochia kwangsiensis,wide-ranged,LC,NT,VU,VU,NT,VU,VU,VU,VU,VU
sp718,Aristolochia ovatifolia,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp721,Aristolochia scytophylla,wide-ranged,EN,EX,EX,EN,EX,EX,EN,EX,EX,CR
sp724,Aristolochia versicolor,wide-ranged,NT,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp725,Armeniaca holosericea,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp732,Artabotrys hainanensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp735,Artabotrys pilosus,wide-ranged,DD,EN,EN,VU,EN,EN,VU,EN,EN,EN
sp736,Artabotrys punctulatus,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp737,Artabotrys rhynchocarpus,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp748,Artocarpus hypargyreus,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp750,Artocarpus nanchuanensis,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp751,Artocarpus nigrifolius,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp754,Artocarpus pithecogallus,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp758,Arundinaria faberi,narrow-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp759,Arundinaria fargesii,wide-ranged,LC,NT,NT,NT,NT,NT,NT,VU,VU,EN
sp762,Aspidopterys esquirolii,wide-ranged,VU,VU,VU,VU,VU,VU,VU,EN,VU,VU
sp763,Aspidopterys floribunda,wide-ranged,LC,LC,LC,VU,LC,LC,VU,NT,VU,EN
sp765,Aspidopterys henryi,wide-ranged,LC,CR,CR,LC,CR,CR,LC,CR,CR,NT
sp767,Aspidopterys obcordata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp782,Aster hersileoides,wide-ranged,LC,VU,VU,EN,VU,VU,EN,EN,EN,EN
sp783,Aster hypoleucus,wide-ranged,DD,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp785,Aster nitidus,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT
sp789,Astronia ferruginea,wide-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,LC
sp792,Atalantia fongkaica,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp803,Atraphaxis manshurica,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp812,Aucuba chlorascens,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp813,Aucuba confertiflora,narrow-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp814,Aucuba eriobotryifolia,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp815,Aucuba filicauda,wide-ranged,LC,EN,CR,EN,EN,CR,CR,CR,CR,CR
sp827,Baliospermum bilobatum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp830,Bambusa angustiaurita,narrow-ranged,DD,LC,VU,CR,LC,VU,CR,EN,EX,CR
sp831,Bambusa angustissima,wide-ranged,DD,LC,LC,LC,LC,LC,LC,VU,VU,NT
sp832,Bambusa basihirsuta,wide-ranged,DD,NT,NT,LC,NT,NT,LC,NT,NT,NT
sp833,Bambusa beecheyana,wide-ranged,DD,VU,VU,LC,VU,VU,LC,EN,EN,NT
sp835,Bambusa boniopsis,wide-ranged,DD,VU,VU,VU,VU,VU,VU,EN,VU,VU
sp841,Bambusa diaoluoshanensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp843,Bambusa emeiensis,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
