species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp219,Actinidia stellatopilosa,narrow-ranged,69,5385,77.04,LC,5336,76.33,LC,2508,35.35,LC
sp220,Actinidia styracifolia,wide-ranged,566,623,0.1,LC,524,-0.07,NT,448,-0.21,NT
sp221,Actinidia suberifolia,narrow-ranged,78,1078,12.82,LC,1081,12.86,LC,1316,15.87,LC
sp222,Actinidia tetramera,wide-ranged,1347,1111,-0.18,NT,931,-0.31,VU,513,-0.62,EN
sp223,Actinidia trichogyna,wide-ranged,1224,1065,-0.13,NT,889,-0.27,NT,565,-0.54,EN
sp224,Actinidia ulmifolia,narrow-ranged,789,3165,3.01,LC,3163,3.01,LC,2408,2.05,LC
sp225,Actinidia umbelloides,wide-ranged,278,302,0.09,LC,283,0.02,LC,57,-0.79,EN
sp226,Actinidia valvata,wide-ranged,1244,515,-0.59,EN,323,-0.74,EN,136,-0.89,CR
sp227,Actinidia venosa,wide-ranged,1322,1220,-0.08,NT,1085,-0.18,NT,783,-0.41,VU
sp228,Actinidia vitifolia,wide-ranged,130,220,0.69,LC,178,0.37,LC,101,-0.22,NT
sp229,Actinidia zhejiangensis,wide-ranged,124,155,0.25,LC,86,-0.31,VU,73,-0.41,VU
sp230,Actinodaphne acuminata,wide-ranged,260,239,-0.08,NT,249,-0.04,NT,418,0.61,LC
sp231,Actinodaphne cupularis,wide-ranged,2388,1542,-0.35,VU,1298,-0.46,VU,945,-0.6,EN
sp232,Actinodaphne forrestii,wide-ranged,923,635,-0.31,VU,577,-0.37,VU,610,-0.34,VU
sp233,Actinodaphne glaucina,wide-ranged,48,39,-0.19,NT,39,-0.19,NT,45,-0.06,NT
sp234,Actinodaphne henryi,wide-ranged,108,223,1.06,LC,197,0.82,LC,139,0.29,LC
sp235,Actinodaphne koshepangii,wide-ranged,408,508,0.25,LC,384,-0.06,NT,290,-0.29,NT
sp236,Actinodaphne kweichowensis,wide-ranged,249,150,-0.4,VU,92,-0.63,EN,38,-0.85,CR
sp237,Actinodaphne lecomtei,wide-ranged,1340,934,-0.3,VU,746,-0.44,VU,744,-0.44,VU
sp238,Actinodaphne mushaensis,narrow-ranged,45,50,0.11,LC,45,0,LC,46,0.02,LC
sp239,Actinodaphne obovata,wide-ranged,472,544,0.15,LC,523,0.11,LC,395,-0.16,NT
sp240,Actinodaphne obscurinervia,narrow-ranged,190,5581,28.37,LC,5585,28.39,LC,4214,21.18,LC
sp241,Actinodaphne omeiensis,wide-ranged,315,640,1.03,LC,481,0.53,LC,179,-0.43,VU
sp242,Actinodaphne paotingensis,narrow-ranged,64,79,0.23,LC,88,0.38,LC,326,4.09,LC
sp243,Actinodaphne pilosa,wide-ranged,805,681,-0.15,NT,550,-0.32,VU,417,-0.48,VU
sp244,Actinodaphne trichocarpa,wide-ranged,1225,1279,0.04,LC,1117,-0.09,NT,848,-0.31,VU
sp245,Adenanthera microsperma,wide-ranged,1665,1742,0.05,LC,1664,0,NT,2037,0.22,LC
sp246,Adenia cardiophylla,wide-ranged,261,347,0.33,LC,337,0.29,LC,311,0.19,LC
sp247,Adenia penangiana,narrow-ranged,42,1130,25.9,LC,1110,25.43,LC,970,22.1,LC
