code,name,level
sp470,Alsophila denticulata,LC
sp471,Alsophila gigantea,LC
sp472,Alsophila khasyana,LC
sp473,Alsophila latebrosa,LC
sp474,Alsophila loheri,NT
sp475,Alsophila metteniana,LC
sp476,Alsophila podophylla,LC
sp477,Alsophila spinulosa,LC
sp478,Alstonia henryi,VU
sp479,Alstonia macrophylla,LC
sp480,Alstonia mairei,LC
sp481,Alstonia neriifolia,VU
sp482,Alstonia rostrata,LC
sp483,Alstonia rupestris,LC
sp484,Alstonia scholaris,LC
sp485,Alstonia yunnanensis,LC
sp486,Altingia chinensis,LC
sp487,Altingia excelsa,LC
sp488,Altingia gracilipes,LC
sp489,Altingia multinervis,EN
sp490,Altingia obovata,VU
sp491,Altingia siamensis,VU
sp492,Altingia tenuifolia,NT
sp493,Altingia yunnanensis,EN
sp494,Alyxia fascicularis,LC
sp495,Alyxia insularis,LC
sp496,Alyxia levinei,LC
sp497,Alyxia marginata,LC
sp498,Alyxia odorata,LC
sp499,Alyxia reinwardtii,LC
sp500,Alyxia schlechteri,LC
sp501,Alyxia siamensis,LC
sp502,Alyxia sinensis,LC
sp503,Alyxia villilimba,LC
sp504,Amalocalyx microlobus,LC
sp505,Amelanchier asiatica,DD
sp506,Amelanchier sinica,LC
sp507,Amentotaxus argotaenia,NT
sp508,Amentotaxus formosana,EN
sp509,Amentotaxus yunnanensis,VU
sp510,Amesiodendron chinense,VU
sp511,Ammodendron bifolium,EN
sp512,Ammopiptanthus mongolicus,VU
sp513,Ampelocalamus actinotrichus,VU
sp514,Ampelocalamus calcareus,CR
sp515,Ampelocalamus hirsutissimus,DD
sp516,Ampelocalamus luodianensis,LC
sp517,Ampelocalamus melicoideus,LC
sp518,Ampelocalamus mianningensis,VU
sp519,Ampelocalamus microphyllus,LC
sp520,Ampelocalamus naibunensis,LC
sp521,Ampelocalamus saxatilis,DD
sp522,Ampelocalamus scandens,LC
sp523,Ampelocalamus yongshanensis,DD
sp524,Ampelocissus hoabinhensis,LC
sp525,Ampelocissus xizangensis,LC
sp526,Ampelopsis acerifolia,VU
sp527,Ampelopsis aconitifolia var. palmiloba,LC
sp528,Ampelopsis acutidentata,LC
sp529,Ampelopsis bodinieri,LC
sp530,Ampelopsis bodinieri var. cinerea,LC
sp531,Ampelopsis cantoniensis,LC
sp532,Ampelopsis chaffanjonii,LC
sp533,Ampelopsis delavayana,LC
sp534,Ampelopsis delavayana var. setulosa,LC
sp535,Ampelopsis glandulosa,DD
sp536,Ampelopsis glandulosa var. heterophylla,LC
sp537,Ampelopsis glandulosa var. kulingensis,LC
sp538,Ampelopsis grossedentata,LC
sp539,Ampelopsis humulifolia,LC
sp540,Ampelopsis japonica,LC
sp541,Ampelopsis megalophylla,LC
sp542,Ampelopsis megalophylla var. jiangxiensis,LC
sp543,Ampelopsis rubifolia,LC
sp544,Amygdalus communis,LC
sp545,Amygdalus davidiana,VU
sp546,Amygdalus ferganensis,DD
sp547,Amygdalus kansuensis,LC
sp548,Amygdalus mira,LC
sp549,Amygdalus mongolica,VU
sp550,Amygdalus nana,EN
sp551,Amygdalus pedunculata,NT
sp552,Amygdalus tangutica,DD
sp553,Amygdalus triloba,LC
sp554,Anaxagorea luzonensis,LC
sp555,Ancistrocladus tectorius,VU
sp556,Ancylostemon rhombifolius,DD
sp557,Ancylostemon ronganensis,LC
sp558,Anna ophiorrhizoides,LC
sp559,Annamocarya sinensis,EN
sp560,Anneslea fragrans,LC
sp561,Anodendron affine,LC
sp562,Anodendron formicinum,LC
sp563,Anogeissus acuminata,NT
sp564,Antheroporum glaucum,LC
sp565,Antheroporum harmandii,NT
sp566,Antiaris toxicaria,NT
sp567,Antidesma acidum,LC
sp568,Antidesma bunius,LC
sp569,Antidesma fordii,LC
sp570,Antidesma ghaesembilla,LC
sp571,Antidesma hainanense,LC
sp572,Antidesma japonicum,LC
sp573,Antidesma maclurei,LC
sp574,Antidesma montanum,LC
sp575,Antidesma montanum var. microphyllum,LC
sp576,Antidesma nienkui,LC
sp577,Antidesma sootepense,LC
sp578,Antirhea chinensis,LC
sp579,Aphanamixis polystachya,LC
sp580,Aphananthe aspera,LC
sp581,Aphananthe cuspidata,LC
sp582,Apocynum pictum,LC
sp583,Apocynum venetum,LC
sp584,Apodytes dimidiata,LC
sp585,Aporosa dioica,LC
sp586,Aporosa villosa,LC
sp587,Aporosa yunnanensis,LC
sp588,Apterosperma oblata,VU
sp589,Aquilaria sinensis,VU
sp590,Aquilaria yunnanensis,VU
sp591,Aralia armata,DD
sp592,Aralia bipinnata,LC
sp593,Aralia chinensis,LC
sp594,Aralia cordata,LC
sp595,Aralia dasyphylla,LC
sp596,Aralia debilis,NT
sp597,Aralia decaisneana,LC
sp598,Aralia echinocaulis,LC
sp599,Aralia elata,VU
sp600,Aralia foliolosa,LC
sp601,Aralia gintungensis,LC
sp602,Aralia scaberula,NT
sp603,Aralia searelliana,LC
sp604,Aralia spinifolia,LC
sp605,Aralia stipulata,DD
sp606,Aralia thomsonii,LC
sp607,Aralia undulata,LC
sp608,Aralia vietnamensis,LC
sp609,Arcangelisia gusanlung,NT
sp610,Arceuthobium chinense,LC
sp611,Arceuthobium oxycedri,LC
sp612,Arceuthobium pini,LC
