code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp186,Actinidia chengkouensis,wide-ranged,EN,EN,NT,NT,NT,EN,NT,EN,EN,EN,Gap
sp187,Actinidia chinensis,wide-ranged,VU,NT,LC,LC,LC,NT,NT,NT,NT,NT,Partial gap
sp188,Actinidia chrysantha,wide-ranged,VU,NT,LC,LC,LC,VU,LC,NT,NT,EN,Gap
sp189,Actinidia eriantha,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Partial gap
sp190,Actinidia farinosa,narrow-ranged,VU,VU,EX,EX,VU,EX,EX,EX,EX,EN,Gap
sp191,Actinidia fasciculoides,wide-ranged,VU,LC,LC,LC,NT,LC,LC,VU,VU,NT,Gap
sp192,Actinidia fasciculoides var. cuneata,wide-ranged,EN,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp193,Actinidia fasciculoides var. orbiculata,narrow-ranged,EN,LC,LC,LC,LC,CR,EN,EX,EX,NT,Gap
sp194,Actinidia fortunatii,wide-ranged,NT,EN,VU,EN,EN,EN,EN,EN,CR,CR,Partial gap
sp195,Actinidia fulvicoma,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp196,Actinidia fulvicoma var. cinerascens,wide-ranged,VU,LC,LC,NT,LC,LC,NT,NT,EN,VU,Partial gap
sp197,Actinidia fulvicoma var. hirsuta,wide-ranged,VU,VU,VU,EN,VU,EN,EN,EN,CR,EN,Partial gap
sp198,Actinidia fulvicoma var. pachyphylla,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,VU,EN,Gap
sp199,Actinidia grandiflora,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp200,Actinidia hemsleyana,wide-ranged,VU,LC,LC,LC,LC,NT,LC,NT,NT,NT,Gap
sp201,Actinidia henryi,wide-ranged,VU,LC,LC,LC,NT,NT,VU,EN,EN,EN,Gap
sp202,Actinidia kolomikta,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp203,Actinidia laevissima,narrow-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp204,Actinidia lanceolata,wide-ranged,VU,VU,LC,LC,LC,VU,LC,NT,NT,VU,Partial gap
sp205,Actinidia latifolia var. mollis,wide-ranged,VU,LC,LC,EN,LC,LC,EN,VU,CR,VU,Gap
sp206,Actinidia liangguangensis,wide-ranged,NT,LC,LC,LC,LC,NT,VU,NT,EN,EN,Gap
sp207,Actinidia melanandra var. glabrescens,wide-ranged,CR,LC,LC,LC,LC,NT,LC,NT,VU,VU,Gap
sp208,Actinidia obovata,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp209,Actinidia pilosula,wide-ranged,VU,LC,NT,NT,VU,VU,EN,EN,EN,EN,Gap
sp210,Actinidia polygama,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Covered
sp211,Actinidia rubricaulis,wide-ranged,VU,LC,VU,NT,VU,LC,VU,EN,EN,VU,Partial gap
sp212,Actinidia rubricaulis var. coriacea,wide-ranged,LC,VU,VU,EN,VU,VU,EN,EN,EN,EN,Partial gap
sp213,Actinidia rudis,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp214,Actinidia rudis var. glabricaulis,wide-ranged,VU,NT,LC,EN,LC,NT,CR,VU,EX,CR,Gap
sp215,Actinidia rufotricha,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp216,Actinidia rufotricha var. glomerata,wide-ranged,EN,LC,VU,EN,VU,LC,EN,CR,CR,NT,Gap
sp217,Actinidia sabiifolia,wide-ranged,VU,NT,LC,LC,LC,VU,LC,NT,VU,EN,Gap
sp218,Actinidia sorbifolia,wide-ranged,VU,EN,CR,CR,EX,CR,CR,EX,EX,CR,Gap
sp219,Actinidia stellatopilosa,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp220,Actinidia styracifolia,wide-ranged,VU,NT,LC,LC,LC,VU,NT,NT,NT,VU,Gap
sp221,Actinidia suberifolia,narrow-ranged,CR,LC,LC,LC,LC,EN,EX,CR,EX,NT,Gap
sp222,Actinidia tetramera,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp223,Actinidia trichogyna,wide-ranged,VU,LC,LC,NT,NT,LC,EN,VU,EN,NT,Partial gap
sp224,Actinidia ulmifolia,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp225,Actinidia umbelloides,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp226,Actinidia valvata,wide-ranged,NT,NT,LC,LC,LC,VU,LC,NT,NT,VU,Partial gap
sp227,Actinidia venosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp228,Actinidia vitifolia,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp229,Actinidia zhejiangensis,wide-ranged,CR,NT,LC,NT,LC,NT,NT,VU,EN,EN,Gap
sp230,Actinodaphne acuminata,wide-ranged,LC,LC,LC,LC,NT,LC,LC,VU,VU,EN,Gap
sp231,Actinodaphne cupularis,wide-ranged,LC,NT,NT,NT,NT,VU,VU,VU,EN,EN,Partial gap
sp232,Actinodaphne forrestii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp233,Actinodaphne glaucina,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp234,Actinodaphne henryi,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp235,Actinodaphne koshepangii,wide-ranged,LC,LC,LC,LC,LC,NT,NT,NT,VU,EN,Gap
sp236,Actinodaphne kweichowensis,wide-ranged,NT,NT,LC,LC,LC,VU,LC,NT,VU,EN,Gap
sp237,Actinodaphne lecomtei,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,VU,Gap
sp238,Actinodaphne mushaensis,narrow-ranged,LC,LC,LC,LC,NT,NT,NT,NT,NT,NT,No protected
